GMT,Prado
11/2/1910 24:00,7.538242489099503
11/3/1910 24:00,8.49102180202802
11/4/1910 24:00,8.795307894547781
11/5/1910 24:00,8.65258331100146
11/6/1910 24:00,8.982500602801641
11/7/1910 24:00,8.59952113032341
11/8/1910 24:00,8.614550103743872
11/9/1910 24:00,8.656314661105474
11/10/1910 24:00,8.476322323083878
11/11/1910 24:00,8.565363655487696
11/12/1910 24:00,8.541523565848669
11/13/1910 24:00,26.716149643063545
11/14/1910 24:00,81.87218451499939
11/15/1910 24:00,158.85671059290567
11/16/1910 24:00,85.19560941060384
11/17/1910 24:00,25.850583632787068
11/18/1910 24:00,15.974466323852539
11/19/1910 24:00,12.581414858500162
11/20/1910 24:00,11.226969530185064
11/21/1910 24:00,9.862561662991842
11/22/1910 24:00,9.101725449164709
11/23/1910 24:00,7.071612372994423
11/24/1910 24:00,6.643002862731616
11/25/1910 24:00,7.743977934122086
11/26/1910 24:00,8.63863143324852
11/27/1910 24:00,96.11463382840157
11/28/1910 24:00,65.48473989963531
11/29/1910 24:00,42.82537599404653
11/30/1910 24:00,22.91046138604482
12/1/1910 24:00,15.03312772512436
12/2/1910 24:00,11.213695466518402
12/3/1910 24:00,10.595105220874151
12/4/1910 24:00,11.050176610549292
12/5/1910 24:00,11.12682576974233
12/6/1910 24:00,8.970261663198471
12/7/1910 24:00,8.600494176149368
12/8/1910 24:00,7.369049593806267
12/9/1910 24:00,7.621608977516492
12/10/1910 24:00,8.578168918689093
12/11/1910 24:00,7.650865614414215
12/12/1910 24:00,6.251015519102414
12/13/1910 24:00,7.556307256221771
12/14/1910 24:00,8.588996330897013
12/15/1910 24:00,67.64143032828967
12/16/1910 24:00,373.9795238176982
12/17/1910 24:00,75.28837617238362
12/18/1910 24:00,27.910227179527283
12/19/1910 24:00,18.052308440208435
12/20/1910 24:00,15.894243399302164
12/21/1910 24:00,14.2622689306736
12/22/1910 24:00,11.083718130985895
12/23/1910 24:00,10.074070235093435
12/24/1910 24:00,9.83528463045756
12/25/1910 24:00,9.5212781727314
12/26/1910 24:00,8.909798840681711
12/27/1910 24:00,8.778409153223038
12/28/1910 24:00,7.729928448796272
12/29/1910 24:00,7.970286652445793
12/30/1910 24:00,7.009995594620705
12/31/1910 24:00,8.188099160790443
1/1/1911 24:00,8.608622168501219
1/2/1911 24:00,7.679120336969693
1/3/1911 24:00,5.4626703560352325
1/4/1911 24:00,6.560412096480529
1/5/1911 24:00,8.342208380500475
